Im Lager,Aktuell,Name,Jahrgang,Flaschen an Lager,Flasche,Land,Region,Gekauft bei,Listenpreis,Trinkreife ab,Trinkreife bis,Mittlere Trinkreife,Kaufpreis,Bemerkung,Degustation (1-5),Trauben
Getrunken,,La Tota,2015,6,,,,Weingut,25,2017,2021,,13,,,
Getrunken,,Costa Quaglia Marchesi Alfieri,2014,2,,Italien,Piemont,Weingut,15,2019,2020,,,,4,
Getrunken,,Sessantanni Primitivo Di Manduria,2014,4,,Italien,,,29,2019,2020,,,,,
Getrunken,,Amarone Lamberti,2013,2,,,,,20,2019,,,,,,
Getrunken,,Pierres Sèches Fitou,2012,1,,Frankreich,Fitou,Schuler?,15,2020,,,15,,,
Getrunken,,Xavier Cairanne,2015,10,,,,,,2020,2022,,,,,
Getrunken,,Terre Brune,2012,4,,Italien,Sardinien,Boddega,45,2019,2021,,,,,Carignano
Getrunken,,Beaune 1er Cru Cent Vignes,2015,12,,,,,32,2019,2021,,,,2020 - noch etwas sauer - 2021?,
Getrunken,,Rasteau La Bastide Saint Martin,2017,6,,Frankreich,Rasteau,Coop,16,2020,2026,,15,Primeurs,"2020 - ist gut, darf aber noch etwas","Grenache, Syrah, Mourvedre"
Getrunken,,Korem,2015,2,,,,,30,2020,2023,,,,,
Getrunken,,Chateau Meyney,2014,6,,Frankreich,Bordeaux,Coop,25.5,2020,2029,2024.5,,,,
Getrunken,,Volnay vieilles vignes,2015,6,,,,,35,2017,2028,2022.5,,,,
Getrunken,,Costera Magnum,2016,1,Magnum,,,,,,,#DIV/0!,,,,
Getrunken,,Rocca Rubia Magnum,2012,1,Magnum,,,,,,,#DIV/0!,,,,
Getrunken,,Rocca Rubia,2014,12,,,,Denner,,2019,2023,2021,,,,
Getrunken,,Xavier Chateauneuf Cuvee Anonyme,2011,1,,,,QoQa,,2015,2031,2023,,,,
Getrunken,,Alfiera,2015,6,,,,,48,2018,2027,2022.5,25,,,
Getrunken,,Su Nighele,2017,2,,,,Sardinien,28,2019,2023,2021,,,,
Getrunken,,Xavier Beaumes de Venises,2015,2,,,,,,2020,2030,2025,,,,
Oben,,Korem,2016,1,,,,Sardinien,,2021,2024,2022.5,25,,,
Ausgetrunken,,Chateau Cote de Baleau,2015,5,,,,,,2020,2025,2022.5,,,,
Getrunken,,Quinta de Oliveirinha Grande Reserva,2016,6,,,,,25,2017,2028,2022.5,,,,
Oben,,Korem,2017,1,,,,Sardinien,,2022,2025,2023.5,25,,,
Ja,,Korem,2017,1,Magnum,,,Sardinien,,2022,2025,2023.5,,,,
Ja,,Rocca Rubia,2019,12,,,,Coop,,2021,2026,2023.5,16,,,
Getrunken,,La Tota,2020,12,,,,Weingut,,2023,2026,2024.5,13.5,,,
Getrunken,,Turriga,2012,1,,,,,,2021,2030,2025.5,,,6 (2020 - Sehr lecker :-) ),
Ja,,Rocca Rubia,2020,18,,,,Denner,,2022,2027,2024.5,14.15,,,
Ja,,Chateau Jean Faux Bordeaux Superieur,2017,12,,Frankreich,Bordeaux,,,2021,2029,2025,20,,,
Ja,,Il Bruciato,2018,1,Magnum,,,Geschenk,,2021,2029,2025,,,,
Getrunken,,Chateau d'Aiguilhe Comptes von Neipperg,2015,1,,Frankreich,Cotes de Bordeaux,Coop,35,2020,2031,2025.5,18,Wasserschaden,,
Getrunken,,Alfiera Magnum,2015,1,Magnum,,,,,,,#DIV/0!,,,,
Ja,,Lux Vina Elixir,2018,1,Magnum,,,Weingut,,2022,2030,2026,150,,,
Ja,,Brico del Bigotta,2018,6,,,,Weingut,,2023,2030,2026.5,55,,,
Ja,,Korem,2020,12,,,,Coop(?),,2025,2029,2027,30,,,
Ja,,Xavier Beaumes de Venises,2016,6,,,,Qoqa,,2020,2034,2027,,,,
Ja,,Alfiera,2019,6,,,,Weingut,,2024,2031,2027.5,27,,,
Ja,,Alfiera,2019,3,Magnum,,,Weingut,,2024,2031,2027.5,56,,,
Oben,,Bricco del uccelone,2019,4,,,,Weingut,,2024,2031,2027.5,57,,,
Ja,,Ai Suma,2019,4,,,,Weingut,,2024,2031,2027.5,73,,,
Ja,,Château de Francs Les Cerisiers,2019,12,,,,Qoqa,,2023,2033,2028,10.5,,89-91,
Ja,,Château de Francs Les Cerisiers,2019,12,,,,Qoqa,,2023,2033,2028,10.75,,,
Getrunken,,Chateau du Tertre Margaux Grand Cru,2015,3,,Frankreich,Margaux,Coop,50,2022,2034,2028,25,Wasserschaden,,"Cabernet Sauvignon, Merlot, Caernet Franc, Petit Verdot "
Getrunken,,Chateau Pibran Pauillac,2015,2,,Frankreich,Pauillac,,55,2022,2035,2028.5,27,Wasserschaden,,
Ja,,Xavier Chateauneuf du pape Cuvee Anonyme,2016,6,,,,Qoqa,,2020,2036,2028,,,,
Ja,,La Mauriane Puisseguin Saint-Emilion AOC,2021,12,,,,Qoqa,,2025,2035,2030,17.41666667,,,
Ja,,Château Fonplégade Saint-Emilion AC Grand Cru,2022,6,,,,Coop,,2028,2032,2030,39.5,,95,
Ja,,Beau-Séjour Bécot Saint-Émilion 1er Grand Cru Classé B,2022,2,Magnum,,,Coop,,2030,2046,2038,153,,97-100,
Lieferung ausstehend,,Château Brown Pessac-Léognan AOC,2023,12,Weisswein,,,Qoqa,,2026,2035,2030.5,16.58333333,,90-94,
Lieferung ausstehend,,Clos Floridène Graves AOC,2023,12,Weisswein,,,Qoqa,,2026,2035,2030.5,16.58333333,,91-93,
Ja,,Château Laroque - Saint Émilion Grand Cru Classé,2019,3,Magnum,,,Qoqa,,2023,2038,2030.5,51,,94-95,
Lieferung ausstehend,,Château Montviel Pomerol AOC,2023,6,,,,Qoqa,,2027,2037,2032,14.58333333,,93-96,
Ja,,Château Bellegrave Pauillac AOC,2021,12,,,,Qoqa,,2026,2040,2033,24.08333333,,89-94,
Ja,,Château Poujeaux Moulis-en-Médoc,2019,3,Magnum,,,Qoqa,,2024,2044,2034,50,,91-94,
Ja,,Château La Patache Pomerol AOC,2020,12,,,,Qoqa,,2026,2045,2035.5,28.25,,93-96,
Ja,,Château La Gaffelière Saint-Émilion 1er Grand Cru Classé B,2019,3,Magnum,,,Qoqa,,2026,2046,2036,117,,95-97,
Lieferung ausstehend,,Beau-Séjour Bécot Saint-Émilion 1er Grand Cru Classé B,2023,3,Magnum,,,Qoqa,,2029,2045,2037,118,,95-98,
Ja,,Château Haut-Bailly Pessac-Léognan Grand Cru Classé,2020,1,Magnum,,,Qoqa,,2027,2047,2037,289,,96-100,
Ja,,Château Grand-Puy-Lacoste Pauillac 5ème Grand Cru Classé,2020,1,Magnum,,,Qoqa,,2027,2047,2037,155,,95-97,
Ja,,Château Laroque Saint Émilion Grand Cru Classé,2021,12,,,,Qoqa,,2027,2047,2037,28.25,,92-96,
Ja,,Château Cantenac Brown Margaux 3ème Grand Cru Classé,2020,1,Magnum,,,Qoqa,,2026,2049,2037.5,109,,93-97,
Ja,,Château Bellegrave Pauillac AOC,2020,6,,,,Qoqa,,2026,2049,2037.5,24.83333333,,93-94,
Ja,,Korem,2022,1,Magnum,,,Sardinien,,2027,2029,2028,,,,
,,3L Flasche von Fest,,,,,,,,,,,,,,